ID,Secession,totalSales,visitFrequency,averageSales,discountCoupons,totalDiscountAmount,customerRating,purchaseType,Claim,purchaseCategories,Region,Sex,ageBand,tradingPeriod,discountSensitive,Recency,Frequency,Monetary,purchaseCycle
288,1,3122670,8,390334,4,57950,2,4,0,6,4,0,4,3921,0,5,1,4,489.125
289,1,8546110,65,131479,24,360195,2,2,0,7,7,0,3,3922,0,7,6,6,59.33846154
290,1,3513260,25,140530,22,350300,1,1,1,6,4,0,3,3923,1,5,2,4,155.92
291,1,5480300,21,260967,10,304395,2,4,0,6,5,0,3,3206,0,5,2,3,151.6666667
292,1,2286740,6,381123,8,262645,1,3,1,5,6,0,3,3925,0,5,1,4,653.1666667
293,1,2739900,24,114163,3,43195,1,1,1,4,4,0,3,3926,0,4,2,4,162.5833333
294,1,4061320,11,369211,12,303945,1,2,0,5,7,0,5,3836,0,5,1,4,347.7272727
295,1,19361400,13,1489338,20,347895,2,4,0,2,5,1,3,827,1,7,5,6,62.61538462
296,1,3815000,18,211944,4,57950,1,2,0,6,5,1,5,3468,0,5,1,4,191.6666667
297,1,2591350,23,112667,23,379700,2,4,0,6,7,0,4,2769,0,5,2,4,119.3913043
298,1,3333900,20,166695,30,381945,2,3,0,6,6,1,3,1608,0,5,2,4,79.4
299,1,8048480,5,1609696,23,380395,2,3,1,2,2,0,5,3932,0,2,1,2,785.4
300,1,1886100,2,943050,1,369700,2,2,0,2,3,0,3,3442,0,6,1,2,1720
301,0,4817810,18,267656,30,380000,1,2,1,2,6,0,3,1992,0,2,1,2,109.6666667
302,0,2329590,18,129422,10,305145,1,2,0,6,6,0,5,2612,0,5,1,4,144.1111111
303,0,3530500,12,294208,26,366595,2,3,0,2,6,0,6,3936,0,2,1,7,327
304,0,20500350,73,280827,27,357145,2,3,1,8,4,0,5,3937,1,7,7,6,52.93150685
305,0,9328620,41,227527,29,374050,2,2,0,5,6,0,3,3779,1,5,4,4,91.17073171
306,0,4684660,7,669237,9,248045,1,4,0,9,5,0,4,3616,0,7,6,6,515.5714286
307,0,3763020,23,163610,22,350995,1,3,1,9,5,0,4,3940,0,7,2,5,170.3043478
308,0,2477900,5,495580,16,366345,1,1,0,2,4,0,3,1448,1,2,1,2,288.6
309,0,8442690,28,301525,19,366295,2,4,0,6,5,0,2,2540,0,5,2,4,89.71428571
310,0,5943240,35,169807,19,365750,2,2,1,7,6,0,3,3943,0,7,3,6,111.6571429
311,0,4637260,26,178356,22,349550,1,2,0,7,7,0,3,2477,0,7,2,6,94.26923077
312,0,3081960,19,162208,17,363700,1,2,0,3,4,0,4,3945,0,4,1,2,206.6315789
313,0,2385080,14,170363,13,324100,1,2,1,4,6,0,3,3946,0,4,1,4,280.8571429
314,0,11463160,22,521053,13,323600,2,2,0,7,4,0,3,2299,1,7,2,5,103.5
315,0,3410520,32,106579,19,367195,1,4,0,4,5,0,4,3948,0,3,3,4,122.375
316,0,2888150,12,240679,9,246850,1,2,1,3,7,0,3,3949,0,4,1,2,328.0833333
317,0,1912540,12,159378,7,211195,1,3,1,2,5,0,3,3531,0,7,1,6,293.25
318,0,2502500,27,92685,11,297645,1,2,0,6,7,0,3,3232,0,5,2,4,118.7037037
319,0,13322780,30,444093,11,295950,2,4,0,8,5,1,4,3036,1,7,3,6,100.2
320,0,10840510,32,338766,23,380645,2,3,1,6,6,0,5,3953,1,5,3,4,122.53125
321,0,6726200,22,305736,10,304450,2,4,1,7,2,0,4,3954,1,7,2,6,178.7272727
322,0,5229290,19,275226,22,370935,2,3,0,2,3,1,4,3955,0,2,1,2,207.1578947
323,0,2126610,15,141774,20,348100,1,4,1,5,5,0,6,3956,0,5,1,7,262.7333333
324,0,6195890,26,238303,20,349045,1,4,0,7,6,1,4,3957,0,7,2,6,151.1923077
325,0,7552670,46,164188,20,346700,2,3,1,5,4,0,5,3958,0,5,4,4,85.04347826
326,0,2911980,8,363998,14,334795,1,3,1,5,4,0,5,3959,0,5,1,4,493.875
327,0,2674900,12,222908,5,130150,1,1,1,4,4,0,6,2853,0,1,1,4,236.75
328,0,8155940,34,239881,27,356700,2,3,0,6,6,0,3,3961,0,5,3,4,115.5
329,0,2104920,10,210492,13,322850,1,2,1,6,5,0,5,3011,0,5,1,4,300.1
330,0,47632350,95,501393,3,43945,2,2,1,8,6,1,5,3963,1,7,7,3,40.71578947
331,0,10363920,47,220509,20,348545,2,4,1,7,5,0,3,3887,1,7,4,6,81.70212766
332,0,10041030,73,137548,30,380750,2,3,1,9,5,0,3,3965,1,7,7,6,53.31506849
333,0,2624000,29,90483,28,376900,1,2,0,6,7,0,5,3966,0,5,2,4,135.7586207
334,0,2583310,21,123015,16,366845,1,2,1,5,5,0,3,3961,0,5,2,4,187.6190476
335,0,4300430,41,104889,14,333850,2,3,0,6,6,0,5,2288,0,5,4,4,54.80487805
336,0,3221920,30,107397,11,295700,1,1,1,6,4,0,5,3969,0,5,3,4,131.3
337,0,4395480,12,366290,20,347645,1,4,1,2,3,1,3,2020,0,2,1,2,167.3333333
338,0,7858650,24,327444,27,355950,1,4,1,6,3,0,4,3971,0,5,2,4,164.4583333
339,0,3601060,8,450133,29,374550,2,3,1,4,4,1,5,3972,0,4,1,5,495.5
340,0,3044900,12,253742,10,303700,2,2,0,4,7,0,3,3973,0,6,1,4,330.0833333
341,0,2827940,18,157108,9,247545,1,3,0,3,6,0,4,2067,0,4,1,2,113.8333333
342,0,8083470,6,1347245,6,186295,1,4,0,4,5,1,4,3969,0,4,1,4,660.5
343,0,21279530,37,575122,24,359695,2,4,0,7,5,1,4,3619,1,7,3,6,96.81081081
344,0,4020710,19,211616,22,349800,2,4,0,9,4,0,4,3977,0,7,4,6,208.3157895
345,0,5250100,9,583344,19,366750,2,4,0,9,6,1,4,1486,0,7,5,5,164.1111111
346,0,3334300,14,238164,3,42250,1,4,1,4,6,0,4,3979,0,4,1,4,283.2142857
347,0,2799090,19,147321,12,302750,2,2,0,2,6,0,5,3980,0,2,1,2,208.4736842
348,0,6057650,57,106275,24,359250,2,1,0,5,3,1,2,1000,1,5,5,4,16.54385965
349,0,18990930,21,904330,21,347750,2,2,0,5,5,1,5,3982,1,5,2,4,188.6190476
350,0,8965380,43,208497,6,184850,2,2,0,5,6,0,3,1366,0,5,4,4,30.76744186
351,0,4555120,33,138034,10,304395,2,2,0,8,4,0,4,3366,0,7,3,6,101
352,0,2549200,8,318650,3,43000,1,3,1,5,5,0,4,3985,0,5,1,3,497.125
353,0,2730300,15,182020,16,365150,1,3,0,5,4,0,5,3364,1,3,1,4,223.2666667
354,0,3468960,54,64240,5,130650,1,1,0,7,5,0,3,3987,0,7,5,6,72.83333333
355,0,3393550,14,242396,29,374745,1,4,1,3,5,0,4,3834,0,4,1,2,272.8571429
356,0,5597740,34,164639,1,4000,2,3,1,8,4,1,4,3782,0,7,3,6,110.2352941
357,0,36108540,67,538933,1,4250,2,1,0,7,3,0,5,3990,1,7,6,6,58.55223881
358,0,4396650,7,628093,24,360445,2,3,1,3,5,0,5,3991,0,4,1,2,569.1428571
359,0,4664920,41,113779,5,131345,2,2,0,5,4,0,4,3992,0,5,4,4,96.36585366
360,0,3030390,19,159494,1,8345,2,2,0,2,6,0,4,3480,1,2,1,2,182.1578947
361,0,5313720,34,156286,26,366095,2,3,0,8,6,0,5,2014,0,7,3,3,58.23529412
362,0,3221070,19,169530,27,357645,1,4,1,6,5,0,3,3995,0,5,1,4,209.2631579
363,0,6399410,9,711046,14,333350,1,2,1,2,5,0,5,1969,0,7,6,6,217.7777778
364,0,2448850,17,144050,24,360445,1,2,0,5,7,0,5,3997,0,5,1,4,234.1176471
365,0,3118950,24,129956,22,350050,1,2,1,6,6,1,5,1782,0,5,2,4,73.25
366,0,5828440,11,529858,19,386500,2,1,1,9,4,0,4,3999,1,1,5,6,362.5454545
367,0,4180660,11,380060,6,186100,2,2,0,2,6,0,4,2264,0,2,1,2,204.8181818
368,0,3053750,23,132772,23,363935,1,1,1,7,4,0,4,4001,1,7,2,5,172.9565217
369,0,2316780,21,110323,13,322850,1,2,0,6,6,0,4,4002,0,5,2,3,189.5714286
370,0,10534850,36,292635,11,295450,2,2,0,8,7,0,3,2668,1,7,3,6,73.11111111
371,0,8903410,97,91788,13,324045,2,4,0,9,5,0,2,2681,0,7,7,6,26.63917526
372,0,4758980,23,206912,5,131595,2,4,0,5,7,0,3,4005,0,5,2,4,173.1304348
373,0,2197290,4,549323,14,353435,2,3,1,5,6,0,4,4006,0,5,1,4,1000.5
374,0,8458060,25,338322,27,356450,2,2,1,8,6,0,5,4007,0,7,2,6,159.28
375,0,6664580,22,302935,23,378950,2,4,0,4,4,0,4,2649,0,4,2,4,119.4090909
376,0,12021980,14,858713,18,341450,2,2,0,3,5,0,3,3546,1,4,1,5,252.2857143
377,0,6171290,13,474715,26,364900,2,2,0,3,5,1,5,4010,0,4,1,2,307.4615385
378,0,3372800,16,210800,22,351745,1,1,1,1,6,1,2,2223,0,2,1,2,137.9375
379,0,3845840,20,192292,25,358300,1,2,1,7,7,0,3,2033,0,7,2,6,100.65
380,0,5025440,27,186127,5,131400,2,4,0,6,5,1,4,3198,0,5,2,4,117.4444444
381,0,2525150,10,252515,6,185795,1,3,1,6,3,0,3,4014,0,6,1,4,400.4
382,0,6364710,28,227311,23,379400,2,2,1,6,7,0,5,4015,0,5,2,4,142.3928571
383,0,2483340,24,103473,29,374300,2,1,0,7,4,0,4,3771,1,7,2,6,156.125
384,0,7444940,32,232654,25,359245,2,3,0,7,7,0,5,4017,0,7,3,6,124.53125
385,0,2764550,5,552910,27,357395,1,3,0,5,1,0,4,2298,0,5,1,4,458.6
386,0,3220450,8,402556,19,367445,1,3,1,5,4,0,3,4019,0,5,1,4,501.375
387,0,2596910,6,432818,20,347895,1,1,1,4,6,0,2,1796,0,4,1,4,298.3333333
388,0,6665240,21,317392,12,303000,2,2,0,5,7,0,5,3746,0,5,2,4,177.3809524
389,0,2151280,6,358547,19,366250,1,2,0,3,6,0,3,2414,0,4,1,2,401.3333333
390,0,5243680,10,524368,22,351495,2,1,1,6,3,0,6,4023,0,5,1,5,401.3
391,0,2336030,20,116802,29,375245,1,2,0,4,5,0,2,2229,0,4,2,7,110.45
392,0,3340530,16,208783,21,348195,2,3,0,5,6,0,2,2612,0,5,1,4,162.25
393,0,2232550,12,186046,22,350995,1,3,1,6,4,0,5,4026,0,5,1,4,334.5
394,0,3343920,35,95541,28,376400,1,2,1,7,4,0,3,3779,0,1,3,6,106.9714286
395,0,3071590,16,191974,11,317100,2,4,0,6,5,0,3,4028,0,5,1,4,250.75
396,0,2659350,9,295483,1,7650,1,3,1,5,5,0,5,4029,0,5,1,4,446.6666667
397,0,3491050,9,387894,25,358050,1,4,0,3,6,0,4,3601,0,4,1,2,399.1111111
398,0,6297990,28,224928,5,132345,2,2,1,7,7,1,5,4031,0,7,2,6,142.9642857
399,0,3031050,33,91850,26,365595,1,4,0,4,5,0,4,4032,0,4,3,4,121.1818182
400,0,9172750,18,509597,18,340950,2,1,0,2,6,1,5,4033,1,2,1,2,223.0555556
401,0,5511610,20,275581,19,385835,2,2,1,8,4,0,4,4034,0,7,2,6,200.7
402,0,5217730,43,121343,14,335545,2,2,0,5,7,0,3,4035,0,5,4,4,92.8372093
403,0,2820900,21,134329,22,351745,1,3,1,6,6,0,3,4036,0,5,2,4,191.1904762
404,0,2297280,15,153152,23,378950,1,2,1,2,7,0,5,4037,1,2,1,2,268.1333333
405,0,2684000,14,191714,16,365400,1,1,1,3,4,0,6,4038,0,4,1,5,287.4285714
406,0,5270980,25,210839,11,297645,2,3,0,7,5,0,5,3306,0,3,2,5,131.24
407,0,2777130,18,154285,23,379650,1,1,1,2,6,1,5,3736,0,2,1,2,206.5555556
408,0,4846670,18,269259,7,209750,2,2,0,7,4,0,5,1999,0,7,1,6,110.0555556
409,0,7723830,12,643653,11,296895,2,2,1,2,7,0,6,4042,0,2,1,2,335.8333333
410,0,8974400,17,527906,15,384135,2,2,0,2,6,0,3,4043,1,2,1,2,236.8235294
411,0,6567610,21,312743,1,6650,2,4,0,6,5,0,2,2532,0,5,2,4,119.5714286
412,0,8990470,20,449524,10,305395,2,3,1,6,5,0,5,4045,1,5,2,4,201.25
413,0,4620620,22,210028,8,262145,2,2,0,7,4,0,3,2217,0,7,2,6,99.77272727
414,0,4617730,13,355210,19,367445,2,1,0,2,4,0,5,4047,0,2,1,2,310.3076923
415,0,3287940,12,273995,12,303445,1,2,0,6,5,0,3,4048,0,5,1,4,336.3333333
416,0,2841570,7,405939,23,379700,1,4,1,5,5,1,4,4049,0,5,1,4,577.4285714
417,0,4589050,6,764842,30,381195,2,4,0,3,7,0,3,4050,0,4,1,3,674
418,0,3993060,18,221837,7,210250,1,4,0,2,5,0,3,3154,0,7,1,6,174.2222222
419,0,7990440,50,159809,16,364900,2,4,0,7,3,0,3,3668,0,6,5,6,72.36
420,0,4568180,7,652597,1,4695,2,2,0,4,5,0,5,4053,0,4,1,4,578
421,0,16037490,6,2672915,14,334545,2,4,0,2,4,0,5,1634,1,2,1,2,271.3333333
422,0,5948960,36,165249,23,380645,2,3,0,5,7,0,3,3416,1,5,3,5,93.88888889
423,0,6309020,26,242655,3,42500,2,2,0,8,4,0,3,3935,1,7,2,6,150.3461538
424,0,4437950,21,211331,19,367695,1,3,1,4,7,0,3,4057,0,4,2,4,192.1904762
425,0,11276060,17,663298,28,376400,2,1,0,3,5,0,4,4058,1,4,1,2,237.7058824
426,0,10264540,34,301898,11,296645,2,2,0,7,6,0,3,4059,1,7,3,6,118.3823529
427,0,3783830,15,252255,12,302250,1,4,0,5,5,0,3,4060,0,5,1,4,269.6666667
428,0,1963430,20,98172,24,359750,1,1,0,5,3,0,3,3262,1,5,2,4,162.1
429,0,1987600,24,82817,26,368600,1,3,0,7,4,0,3,1880,0,3,2,5,77.33333333
430,0,9764330,15,650955,22,350800,2,2,0,9,4,0,4,2621,1,7,1,6,173.7333333
431,0,15366510,56,274402,23,378900,2,3,0,7,6,0,4,4064,1,7,5,6,71.57142857
432,0,5585610,12,465468,9,247795,1,4,1,9,5,1,4,2312,0,1,4,6,191.6666667
433,0,5167390,28,184550,22,351245,2,2,0,5,6,0,3,1987,0,5,2,4,69.96428571
434,0,2078500,11,188955,1,4500,1,1,0,5,6,0,5,2492,0,5,1,4,225.5454545
435,0,2525020,16,157814,17,364895,1,2,0,6,6,0,5,4068,0,5,1,4,253.25
436,0,2224960,7,317851,12,303000,1,1,0,6,3,0,5,4069,0,5,1,4,580.2857143
437,0,6527290,39,167366,13,323600,2,4,0,8,4,0,4,4070,0,7,3,6,103.3589744
438,0,15152190,38,398742,15,326545,2,4,1,8,6,0,4,3821,1,6,3,6,99.55263158
439,0,6796410,106,64117,18,341895,2,2,0,8,5,0,6,2051,0,7,7,5,18.3490566
440,0,3202400,17,188376,24,359000,1,3,1,4,3,0,5,4073,0,4,1,5,238.5882353
441,0,6803390,20,340170,7,210000,2,3,1,6,5,0,3,4074,1,5,2,4,202.7
442,0,4403400,17,259024,13,324045,2,4,0,3,6,0,4,1803,0,4,1,2,105.0588235
443,0,3506510,12,292209,22,350800,1,2,1,2,6,0,3,2936,0,2,1,2,243.6666667
444,0,4592800,21,218705,18,341395,1,4,1,7,6,0,4,4077,0,7,2,6,193.1428571
445,0,10298150,27,381413,25,359245,2,4,0,7,7,0,4,4078,1,7,2,6,150.037037
446,0,3148500,13,242192,4,58200,1,3,1,3,7,0,3,2237,1,4,1,2,171.0769231
447,0,16260610,89,182703,21,348945,2,4,0,7,5,0,4,2195,1,7,7,6,23.66292135
448,0,3736050,68,54942,29,374800,2,1,0,8,6,0,4,4081,0,7,6,6,59.01470588
449,0,1936740,7,276677,22,350800,1,4,0,4,4,1,4,4082,0,4,1,4,582.1428571
450,0,7332310,16,458269,20,349045,2,3,0,3,5,0,5,2629,0,4,1,2,163.3125
451,0,17766460,51,348362,9,248045,2,3,0,8,4,0,4,4084,1,1,5,7,79.07843137
452,0,7142930,15,476195,23,380845,2,3,0,2,7,0,3,3409,0,2,1,2,226.2666667
453,0,12303240,20,615162,14,334795,2,2,0,5,5,0,7,4086,1,5,2,4,203.3
454,0,6354530,30,211818,19,366545,2,1,0,7,4,0,4,4087,1,7,3,6,135.2333333
455,0,6245570,9,693952,18,341450,2,1,1,3,6,0,5,4088,0,4,1,2,453.2222222
456,0,1941460,3,647153,26,365400,1,4,0,5,6,0,4,4089,0,5,1,5,1362
457,0,2827730,6,471288,7,209250,1,4,0,6,5,0,4,4090,0,5,1,4,680.6666667
458,0,2514950,13,193458,9,247045,1,1,0,7,4,0,3,4091,0,7,1,6,313.6923077
459,0,14022320,15,934821,6,186295,2,3,0,2,4,0,3,1841,1,2,1,2,121.7333333
460,0,13697240,78,175606,15,325600,2,2,0,7,7,0,6,4093,1,7,7,6,51.47435897
461,0,4160840,12,346737,10,303950,2,4,0,9,5,0,4,1602,0,7,5,6,132.5
462,0,4626290,62,74618,21,19300,1,2,0,7,5,1,4,4095,0,7,6,6,65.0483871
463,0,3407410,40,85185,19,366000,2,3,0,5,5,0,2,2773,0,5,4,5,68.325
464,0,2425520,30,80851,28,377345,1,2,1,6,6,0,3,3615,0,5,3,4,119.5
465,0,2706460,7,386637,5,131400,1,3,0,4,4,0,6,3322,0,4,1,4,473.5714286
466,0,2446520,18,135918,22,350745,2,3,0,4,5,0,3,1932,0,3,1,4,106.3333333
467,0,4889650,18,271647,25,358995,2,4,0,7,5,0,3,4100,0,7,1,6,226.7777778
468,0,4892350,16,305772,29,375745,2,4,1,2,4,0,7,4101,1,2,1,2,255.3125
469,0,2667750,5,533550,24,360000,2,2,1,2,7,0,5,4102,0,2,1,2,819.4
470,0,4258810,81,52578,6,186545,1,2,0,8,6,1,3,2670,0,7,7,6,31.96296296
471,0,2573420,39,65985,30,381195,1,2,0,7,6,0,3,2109,0,7,3,5,53.07692308
472,0,2815800,8,351975,8,261895,2,1,0,5,6,0,4,2210,0,5,1,4,275.25
473,0,5849720,25,233989,1,4750,2,2,1,6,6,0,4,4106,0,5,2,4,163.24
474,0,11326850,50,226537,4,59395,2,3,1,5,5,0,5,4107,1,5,5,3,81.14
475,0,19914730,73,272805,16,366095,2,1,1,7,7,0,3,3916,1,7,7,6,52.64383562
476,0,10626580,26,408715,23,381145,2,4,0,6,5,0,4,1844,1,5,2,4,69.92307692
477,0,5690710,25,227628,18,362100,2,1,1,8,4,1,4,4110,0,7,2,6,163.4
478,0,3991130,9,443459,14,335545,1,3,1,4,6,0,2,3344,0,6,1,4,370.5555556
479,0,24062850,20,1203143,25,357550,2,1,0,4,4,0,2,1945,1,4,2,4,96.25
480,0,2911800,42,69329,11,296895,1,4,0,6,5,0,4,4113,0,5,4,4,96.92857143
481,0,3274970,9,363886,25,358495,2,3,1,2,2,0,5,4114,1,2,1,2,456.1111111
482,0,4618050,13,355235,3,43445,2,2,0,3,6,0,5,4115,0,4,1,2,315.5384615
483,0,27186350,71,382906,10,305145,2,2,1,1,4,1,7,4116,1,2,7,2,56.97183099
484,0,4075400,6,679233,1,5000,2,3,0,9,5,0,3,2954,0,7,1,5,491.3333333
485,0,5988040,155,38633,1,5945,2,4,0,9,2,0,4,2322,0,7,7,6,13.98064516
486,0,23529530,125,188236,18,342145,1,3,1,7,6,1,3,3190,1,7,7,6,24.52
487,0,4057270,24,169053,6,185350,1,2,1,5,6,0,4,3542,0,5,2,4,146.5833333
488,0,3661190,22,166418,22,371200,1,2,1,6,4,1,5,4121,0,5,2,5,186.3181818
489,0,2281100,17,134182,20,348100,1,2,0,5,3,0,3,4122,0,5,1,4,241.4705882
490,0,2411980,24,100499,22,350300,1,2,1,6,6,1,4,4123,0,5,2,4,170.7916667
491,0,7360810,31,237445,16,365595,2,4,0,6,7,0,4,4124,0,3,3,4,132.0322581
492,0,6234550,28,222663,1,8345,2,2,0,8,6,0,5,3165,0,7,2,6,112.0357143
493,0,3678160,13,282935,19,366100,1,4,1,3,4,0,4,2620,0,4,1,2,200.5384615
494,0,5056190,44,114913,27,357200,2,1,0,5,4,1,3,2344,0,5,4,4,52.27272727
495,0,5081180,21,241961,27,356895,2,1,0,7,5,0,3,2728,0,7,2,6,128.9047619
496,0,3738330,13,287564,5,132345,2,2,0,5,4,0,2,2445,0,5,1,5,187.0769231
497,0,1981390,14,141528,22,350550,1,4,0,3,5,1,3,1563,0,4,1,2,110.6428571
498,0,7583360,32,236980,12,303250,2,4,0,7,5,0,4,4131,0,7,3,6,128.09375
499,0,4381950,19,230629,17,365145,2,3,0,5,6,0,6,1000,0,5,1,7,51.63157895
500,0,9875170,42,235123,8,260450,2,2,0,8,4,0,3,2734,1,7,4,6,64.0952381
501,0,5746950,51,112685,20,368100,2,1,1,8,4,1,4,4134,0,7,5,6,80.05882353
502,0,2603520,19,137027,26,365150,1,4,1,3,4,1,4,4135,0,4,1,2,216.6315789
503,0,2815940,12,234662,20,347600,1,1,0,3,4,0,3,4136,0,4,1,2,343.6666667
504,0,10838570,33,328442,9,246795,2,4,0,5,5,0,4,2569,1,1,3,4,76.84848485
505,0,2227170,20,111359,29,374995,1,2,1,3,5,1,5,3931,0,4,2,2,195.55
506,0,2870000,18,159444,29,374800,1,3,0,4,6,0,6,4139,0,4,1,4,228.9444444
507,0,3398950,28,121391,29,373800,1,2,0,6,4,0,4,4140,0,5,2,4,146.8571429
508,0,4843870,12,403656,18,341895,2,4,0,5,5,0,2,2945,0,5,1,4,244.4166667
509,0,11870830,63,188426,3,43000,2,4,0,8,5,0,3,4142,1,7,6,6,64.74603175
510,0,5307000,18,294833,20,346450,1,2,0,9,6,0,4,4143,0,7,4,6,229.1666667
511,0,17722700,33,537052,26,365900,2,2,0,7,4,0,4,4144,1,7,3,6,124.5757576
512,0,19339330,80,241742,24,359945,2,1,0,5,4,0,5,4145,1,5,7,5,50.8125
513,0,2986950,7,426707,9,247295,1,4,0,5,6,0,5,3726,0,5,1,4,531.2857143
514,0,2396000,11,217818,6,300635,1,1,0,9,4,0,4,2691,1,7,5,1,243.6363636
515,0,10982670,51,215346,13,324545,2,3,1,6,7,0,4,4148,1,5,5,4,80.33333333
516,0,2907430,8,363429,23,398735,1,4,0,5,5,0,4,4149,0,5,1,4,517.625
517,0,7066660,23,307246,15,326545,2,2,0,7,5,0,5,4150,0,7,2,6,179.4347826
518,0,3520100,14,251436,14,334795,1,4,1,3,5,0,4,4151,0,4,1,2,295.5
519,0,3298290,14,235592,29,374300,1,2,1,5,3,0,5,4152,0,5,1,4,295.5714286
520,0,5299690,13,407668,9,345635,2,1,0,2,4,0,3,2959,0,3,1,2,226.6153846
521,0,2743520,26,105520,28,377095,1,3,0,6,4,1,4,3947,0,5,2,4,150.8076923
522,0,3575170,18,198621,14,334100,1,2,1,3,5,0,3,4149,0,4,1,2,229.5
523,0,6455900,26,248304,23,379150,2,3,0,7,5,0,3,2694,0,7,2,6,102.6153846
524,0,2448000,6,408000,6,186545,1,1,0,3,4,0,2,1959,0,4,1,3,325.5
525,0,5801450,27,214869,5,130150,2,2,0,3,6,0,4,2891,0,4,2,2,106.0740741
526,0,3805000,10,380500,14,335045,1,2,0,4,6,0,4,4003,0,4,1,4,399.3
527,0,3062930,11,278448,20,346950,1,4,1,6,2,0,4,4160,0,5,1,4,377.1818182
528,0,2725650,8,340706,23,380645,1,2,0,5,7,1,5,4161,0,5,1,4,519.125
529,0,2437500,4,609375,19,365750,1,1,0,3,6,0,4,4162,0,4,1,3,1039.5
530,0,4295100,4,1073775,19,366100,1,2,0,2,6,0,5,4157,0,2,1,2,1038.25
531,0,8709170,48,181441,1,7650,2,1,0,5,4,0,4,4164,0,5,4,4,85.75
532,0,3612590,21,172028,15,324850,1,2,1,7,6,0,3,4165,0,7,2,6,197.3333333
533,0,2437380,90,27082,23,379150,1,4,0,9,5,0,4,4166,0,7,7,6,45.28888889
534,0,2497340,22,113515,13,323350,2,2,0,7,7,0,4,4167,0,7,2,5,188.4090909
535,0,8269890,21,393804,5,131595,2,2,0,6,5,0,5,4168,0,6,2,4,197.4761905
536,0,2715900,10,271590,28,376150,2,4,1,6,5,0,3,4169,0,5,1,4,415.9
537,0,2271880,27,84144,9,247045,1,3,1,7,6,0,6,4170,0,7,2,6,153.4444444
538,0,3970950,16,248184,21,347945,2,4,0,5,4,0,4,1725,0,5,1,4,106.8125
539,0,6161780,15,410785,15,326045,2,1,0,5,4,0,5,4172,0,5,1,4,277.1333333
540,0,2300740,6,383457,13,323850,1,3,0,4,6,0,4,4173,0,4,1,4,694.5
541,0,7760200,63,123178,1,3750,2,2,0,7,5,0,3,2823,0,7,6,6,43.80952381
542,0,33189430,66,502870,4,58645,2,4,1,9,6,1,4,4175,1,7,6,6,62.25757576
543,0,3629010,20,181451,6,185100,1,3,1,7,7,0,5,4176,0,7,2,1,207.8
544,0,3084330,5,616866,6,185850,1,3,1,3,6,0,5,4177,0,4,1,3,834.4
545,0,12485030,37,337433,13,323100,2,2,0,5,7,0,3,4178,1,5,3,4,111.9189189
546,0,5601640,10,560164,1,8345,2,3,1,9,4,0,4,3935,0,7,6,6,392.5
547,0,6708860,109,61549,26,365650,2,4,0,9,3,0,4,2213,0,7,7,6,19.30275229
548,0,2643420,22,120155,24,360000,2,3,0,4,6,0,4,2964,0,4,2,4,133.7272727
549,0,1991870,16,124492,13,324100,1,2,0,9,6,1,4,4182,1,7,5,6,260.375
550,0,14410060,24,600419,29,375245,2,2,1,7,5,0,6,4183,1,7,2,6,173.2916667
551,0,5751540,23,250067,6,185600,1,2,0,8,6,0,4,4184,0,1,2,6,180.9130435
552,0,8263990,42,196762,19,365100,2,4,0,5,5,0,4,1955,0,5,4,4,45.54761905
553,0,2825680,23,122856,1,8095,1,4,1,5,4,0,4,4186,0,5,2,4,181
554,0,7545460,71,106274,23,380345,2,2,0,9,4,1,4,1631,0,7,7,6,21.97183099
555,0,4333160,17,254892,22,349800,2,3,0,3,2,0,3,4188,0,4,1,2,245.3529412
556,0,3078920,52,59210,25,357300,1,2,1,5,6,0,3,4189,0,5,5,5,79.55769231
557,0,6570370,28,234656,4,57700,2,4,1,8,3,1,4,4070,0,7,2,3,144.3571429
558,0,5567900,20,278395,28,377345,2,2,0,5,7,0,7,4191,0,5,2,4,208.55
559,0,2490950,5,498190,19,366795,2,2,0,6,7,0,5,4192,0,5,1,4,837.4
560,0,5625500,19,296079,21,347750,2,3,0,3,3,0,3,2904,0,4,1,2,151.8421053
561,0,8417990,34,247588,1,8845,2,2,1,6,6,0,4,4194,0,5,3,4,122.3529412
562,0,19821100,57,347739,27,388300,1,4,1,8,5,1,4,4195,1,7,5,6,72.59649123
563,0,3001010,24,125042,5,131845,2,4,0,6,4,0,3,3989,0,5,2,4,165.2083333
564,0,2747600,8,343450,15,326545,1,2,1,6,5,1,5,3080,0,5,1,4,384
565,0,8202100,18,455672,21,347500,2,2,0,9,5,0,5,3052,0,7,5,6,168.5555556
566,0,2928400,28,104586,17,364450,1,2,1,6,6,0,3,2991,0,5,2,7,105.8214286
567,0,6626380,55,120480,16,365650,2,2,0,6,7,1,4,3281,0,5,5,4,58.65454545
568,0,4335090,49,88471,20,347895,1,2,0,7,6,0,4,4201,0,3,4,6,84.73469388
569,0,29551650,49,603095,23,379845,2,2,1,4,7,0,4,4202,1,4,4,4,84.75510204
570,0,3378100,10,337810,1,4750,1,4,1,9,3,0,4,3824,0,7,4,6,381.4
571,0,2814760,30,93825,22,349550,1,2,0,7,6,1,4,4204,0,7,3,6,139.1333333
572,0,3779160,25,151166,7,210000,1,2,0,7,5,1,4,1694,0,7,2,1,66.76
573,0,33766490,16,2110406,6,186295,2,4,0,2,6,0,5,4206,1,2,1,2,261.875
